NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderLElbowX,LShoulderLElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
0.5923913,0.2771739,0.59782606,0.35326087,0.5326087,0.35326087,0.4347826,0.35326087,0.39130434,0.36413044,0.6576087,0.3478261,0.7554348,0.35869566,0.8423913,0.36413044,0.5652174,0.5326087,0.5706522,0.73913044,0.58152175,0.91847825,0.63586956,0.54347825,0.6195652,0.73913044,0.625,0.9130435,0.58152175,0.26630434,0.6032609,0.26630434,0.5652174,0.27173913,0.625,0.27173913
0.625,0.27173913,0.625,0.36413044,0.58152175,0.3478261,0.51086956,0.28804347,0.46195653,0.26630434,0.66847825,0.36956522,0.7554348,0.39673913,0.7336956,0.38043478,0.59782606,0.58152175,0.6032609,0.7336956,0.58152175,0.88586956,0.6304348,0.5869565,0.6032609,0.7336956,0.57608694,0.82608694,0.61413044,0.26086956,0.63586956,0.26086956,0.59782606,0.27173913,0.65217394,0.27173913
0.625,0.27173913,0.6195652,0.36413044,0.58152175,0.3478261,0.51086956,0.29891303,0.4673913,0.2826087,0.6630435,0.36956522,0.7336956,0.39130434,0.0,0.0,0.5923913,0.58152175,0.59782606,0.7445652,0.58152175,0.8695652,0.63586956,0.5869565,0.6032609,0.73913044,0.57608694,0.8097826,0.61413044,0.26086956,0.63586956,0.26086956,0.59782606,0.27173913,0.6467391,0.27173913
0.6902174,0.28804347,0.625,0.36413044,0.6847826,0.35869566,0.79891306,0.32608697,0.875,0.3152174,0.5706522,0.35869566,0.48369566,0.36413044,0.4076087,0.36413044,0.6630435,0.5597826,0.65217394,0.75,0.6576087,0.92391306,0.6032609,0.5652174,0.6032609,0.75,0.61413044,0.9130435,0.6847826,0.2826087,0.0,0.0,0.65217394,0.28804347,0.0,0.0
0.6086956,0.27173913,0.59782606,0.35869566,0.52717394,0.35869566,0.4347826,0.33695653,0.35326087,0.33695653,0.6630435,0.35326087,0.77717394,0.38043478,0.8586956,0.39673913,0.57608694,0.54347825,0.57608694,0.76086956,0.57608694,0.91847825,0.6467391,0.5543478,0.63586956,0.76086956,0.65217394,0.91847825,0.5923913,0.26086956,0.6195652,0.26086956,0.5706522,0.27173913,0.6304348,0.27173913
0.6086956,0.27173913,0.59782606,0.35869566,0.5326087,0.35869566,0.4293478,0.3423913,0.35869566,0.3423913,0.6630435,0.35326087,0.77717394,0.38586956,0.8586956,0.39130434,0.5652174,0.5652174,0.5597826,0.625,0.0,0.0,0.6467391,0.5706522,0.6413044,0.76086956,0.6576087,0.92391306,0.5923913,0.26086956,0.6195652,0.26086956,0.5706522,0.27173913,0.6304348,0.26630434
0.6086956,0.27173913,0.6032609,0.35869566,0.5380435,0.35869566,0.4402174,0.3478261,0.375,0.3478261,0.6630435,0.35326087,0.7826087,0.38586956,0.86413044,0.4076087,0.5706522,0.5543478,0.57608694,0.7554348,0.5652174,0.9293478,0.6467391,0.5652174,0.6467391,0.76086956,0.6576087,0.91847825,0.5923913,0.26086956,0.6195652,0.26086956,0.57608694,0.27173913,0.63586956,0.27173913
0.54347825,0.20652173,0.5326087,0.32608697,0.4728261,0.3206522,0.375,0.36413044,0.2826087,0.375,0.5923913,0.3152174,0.7119565,0.35326087,0.8152174,0.375,0.5163044,0.5869565,0.5,0.7717391,0.48913044,0.9293478,0.58152175,0.58152175,0.58152175,0.77717394,0.58152175,0.9130435,0.52717394,0.19021739,0.5543478,0.18478261,0.5,0.20108695,0.0,0.0
0.5652174,0.19565217,0.5326087,0.3043478,0.49456522,0.29891303,0.39673913,0.33152175,0.3043478,0.33152175,0.58152175,0.3043478,0.6847826,0.36956522,0.7282609,0.38586956,0.0,0.0,0.0,0.0,0.0,0.0,0.5597826,0.57608694,0.5054348,0.7880435,0.5,0.9456522,0.54347825,0.18478261,0.5706522,0.17934783,0.5163044,0.20108695,0.0,0.0
0.5869565,0.21195652,0.5652174,0.3152174,0.5217391,0.3097826,0.4347826,0.33152175,0.33695653,0.33152175,0.6032609,0.3152174,0.70108694,0.375,0.75,0.39130434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652174,0.20108695,0.5923913,0.19565217,0.54347825,0.2173913,0.0,0.0
0.59782606,0.20652173,0.5543478,0.3097826,0.52717394,0.3097826,0.4293478,0.33695653,0.0,0.0,0.57608694,0.3097826,0.6413044,0.35326087,0.6956522,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57608694,0.19565217,0.6032609,0.18478261,0.54347825,0.2228261,0.0,0.0
0.5923913,0.19565217,0.5869565,0.3206522,0.5163044,0.3152174,0.4076087,0.35326087,0.3097826,0.35869566,0.65217394,0.3206522,0.7663044,0.35326087,0.8695652,0.36956522,0.5706522,0.5923913,0.5869565,0.79891306,0.5923913,0.9402174,0.6195652,0.6032609,0.6032609,0.79347825,0.54891306,0.9456522,0.5706522,0.17934783,0.6032609,0.17391305,0.54891306,0.19021739,0.6195652,0.18478261
0.5652174,0.17934783,0.59782606,0.3043478,0.54347825,0.3206522,0.48913044,0.35869566,0.4076087,0.39130434,0.6467391,0.29347825,0.72282606,0.3152174,0.8423913,0.33695653,0.54891306,0.59782606,0.6086956,0.82608694,0.625,0.9673913,0.59782606,0.6086956,0.6086956,0.8206522,0.6195652,0.9619565,0.54891306,0.16847827,0.58152175,0.16847827,0.54347825,0.18478261,0.6086956,0.17934783
0.5652174,0.17934783,0.6032609,0.29891303,0.54891306,0.3152174,0.51086956,0.3478261,0.42391303,0.38043478,0.6576087,0.29347825,0.7336956,0.3152174,0.8423913,0.33152175,0.5706522,0.61413044,0.59782606,0.8152174,0.6195652,0.9619565,0.6032609,0.6195652,0.6195652,0.8152174,0.6467391,0.9619565,0.54891306,0.16304348,0.58152175,0.16304348,0.0,0.0,0.61413044,0.17391305
0.54347825,0.16304348,0.5217391,0.29347825,0.45108697,0.2826087,0.3206522,0.33152175,0.17934783,0.3478261,0.5869565,0.29347825,0.7119565,0.36413044,0.8152174,0.38586956,0.49456522,0.6847826,0.4673913,0.9130435,0.0,0.0,0.57608694,0.66847825,0.61413044,0.8913044,0.61413044,0.92391306,0.51086956,0.14130434,0.5543478,0.13586956,0.48369566,0.1576087,0.58152175,0.14673913
0.5652174,0.092391305,0.5543478,0.26086956,0.4402174,0.26086956,0.3043478,0.3206522,0.0,0.0,0.65217394,0.25543478,0.8097826,0.3152174,0.9293478,0.33695653,0.5,0.7282609,0.0,0.0,0.0,0.0,0.61413044,0.7173913,0.0,0.0,0.0,0.0,0.52717394,0.06521739,0.57608694,0.054347824,0.49456522,0.092391305,0.0,0.0
0.5326087,0.08695652,0.52717394,0.26630434,0.41847825,0.26086956,0.2771739,0.3206522,0.19565217,0.32608697,0.63586956,0.26086956,0.7717391,0.29891303,0.90217394,0.32608697,0.45652175,0.7282609,0.0,0.0,0.0,0.0,0.5706522,0.7173913,0.0,0.0,0.0,0.0,0.5,0.06521739,0.5543478,0.054347824,0.4673913,0.092391305,0.58152175,0.06521739
0.6032609,0.08695652,0.61413044,0.26630434,0.5,0.27173913,0.39673913,0.33152175,0.27173913,0.3478261,0.7173913,0.25543478,0.8206522,0.27173913,0.92391306,0.3043478,0.5217391,0.7119565,0.0,0.0,0.0,0.0,0.6576087,0.7119565,0.6847826,0.97282606,0.0,0.0,0.5652174,0.06521739,0.6195652,0.054347824,0.5380435,0.092391305,0.65217394,0.07065217
0.7173913,0.11956522,0.73913044,0.2771739,0.63586956,0.2826087,0.5054348,0.33695653,0.39130434,0.3478261,0.8369565,0.26086956,0.9456522,0.29347825,0.0,0.0,0.6576087,0.6793478,0.6467391,0.8206522,0.0,0.0,0.76086956,0.6902174,0.76086956,0.9130435,0.0,0.0,0.6902174,0.10326087,0.7336956,0.092391305,0.66847825,0.13043478,0.7663044,0.097826086
0.45652175,0.11413044,0.45108697,0.2826087,0.36413044,0.2826087,0.22826087,0.33695653,0.054347824,0.35326087,0.5326087,0.27173913,0.66847825,0.3043478,0.7826087,0.3206522,0.4347826,0.66847825,0.0,0.0,0.0,0.0,0.51086956,0.66847825,0.4076087,0.9130435,0.0,0.0,0.42391303,0.10326087,0.4673913,0.092391305,0.39673913,0.13586956,0.48913044,0.10326087
0.4402174,0.11413044,0.42391303,0.2771739,0.33695653,0.27173913,0.19565217,0.32608697,0.032608695,0.33152175,0.5,0.2771739,0.6195652,0.3152174,0.7282609,0.32608697,0.41304347,0.6902174,0.4021739,0.9130435,0.0,0.0,0.47826087,0.67391306,0.4728261,0.9076087,0.0,0.0,0.4076087,0.097826086,0.4456522,0.092391305,0.38043478,0.13043478,0.0,0.0
0.42391303,0.26086956,0.4293478,0.3423913,0.38586956,0.3423913,0.3152174,0.38043478,0.25543478,0.4021739,0.47826087,0.33152175,0.54891306,0.35326087,0.61413044,0.375,0.4021739,0.5326087,0.4076087,0.67391306,0.41847825,0.8152174,0.45652175,0.5326087,0.45108697,0.66847825,0.4402174,0.8152174,0.41304347,0.25,0.4347826,0.24456522,0.4021739,0.26086956,0.45108697,0.25543478
0.42391303,0.26086956,0.4293478,0.33695653,0.375,0.33695653,0.3043478,0.36413044,0.23913044,0.36956522,0.48369566,0.33152175,0.5543478,0.3423913,0.625,0.3423913,0.4021739,0.54347825,0.4076087,0.6847826,0.4076087,0.8152174,0.46195653,0.54347825,0.45652175,0.6847826,0.45108697,0.8097826,0.41304347,0.25,0.4347826,0.24456522,0.4021739,0.26086956,0.45108697,0.25543478
0.6576087,0.26630434,0.66847825,0.3423913,0.61413044,0.3423913,0.54891306,0.36956522,0.47826087,0.375,0.72282606,0.33695653,0.79347825,0.35326087,0.8695652,0.35326087,0.63586956,0.54347825,0.625,0.6793478,0.6304348,0.79347825,0.70108694,0.54347825,0.6847826,0.66847825,0.67391306,0.79891306,0.6467391,0.26086956,0.66847825,0.25543478,0.6304348,0.26630434,0.6847826,0.26086956
0.6304348,0.26086956,0.6304348,0.33152175,0.58152175,0.33152175,0.5054348,0.36413044,0.4347826,0.36413044,0.6793478,0.33152175,0.7663044,0.3478261,0.84782606,0.3478261,0.6032609,0.54347825,0.6032609,0.6956522,0.6195652,0.8206522,0.6576087,0.54347825,0.63586956,0.70652175,0.6304348,0.83152175,0.61413044,0.25,0.63586956,0.24456522,0.6032609,0.25543478,0.65217394,0.25
0.5543478,0.26086956,0.54891306,0.33695653,0.5054348,0.33695653,0.4076087,0.36956522,0.3206522,0.35869566,0.59782606,0.33152175,0.6630435,0.35326087,0.72282606,0.36956522,0.5163044,0.54891306,0.52717394,0.70652175,0.5380435,0.8097826,0.58152175,0.54891306,0.5652174,0.70652175,0.5597826,0.8206522,0.5380435,0.25,0.5597826,0.24456522,0.52717394,0.25543478,0.57608694,0.25543478
0.42391303,0.26086956,0.4293478,0.33695653,0.375,0.3423913,0.29891303,0.38586956,0.23913044,0.4076087,0.47826087,0.33152175,0.54891306,0.35326087,0.6195652,0.36956522,0.4021739,0.5380435,0.4021739,0.67391306,0.41304347,0.8043478,0.45652175,0.5326087,0.45108697,0.6630435,0.4456522,0.79891306,0.4076087,0.25,0.4293478,0.25,0.39673913,0.26086956,0.45108697,0.25543478
0.375,0.25543478,0.36413044,0.33695653,0.3206522,0.33695653,0.25543478,0.36956522,0.17391305,0.38586956,0.41304347,0.33152175,0.48369566,0.35869566,0.54347825,0.375,0.3478261,0.54347825,0.3423913,0.67391306,0.3478261,0.79347825,0.4021739,0.54891306,0.38586956,0.6847826,0.38043478,0.8043478,0.35869566,0.25,0.38043478,0.24456522,0.33695653,0.26086956,0.0,0.0
